customer_id,first_name,last_name,email,quantity
883037698491635653,Robert,Ponce,gwalsh@example.net,136
416636781440851074,Kathryn,Campbell,lisajones@example.org,123
105568439268969136,Omar,Jackson,yjohnson@example.org,121
261985261414427932,Kaitlyn,Raymond,jonespamela@example.org,116
47453050786199672,Andrea,Campbell,nguyenkevin@example.com,116
477720798267676546,John,Smith,jessesoto@example.net,115
908236561118101324,Jessica,Moyer,ronaldbuchanan@example.net,115
897154383584823481,Timothy,Walters,melissa38@example.org,100
442319492566101591,Brenda,Rhodes,meagan49@example.com,95
156786189949779706,Luis,Shaffer,kirkwendy@example.com,94
